Treatment	Species	Flowers	Bees	Measurement	Individual	Flower	Grains
ESS	Echium	Small	Small	OldStigma	5	D	19
ESS	Echium	Small	Small	OldStigma	6	D	11
ESS	Echium	Small	Small	OldStigma	6	E	6
ESS	Echium	Small	Small	OldStigma	7	E	21
ESS	Echium	Small	Small	OldStigma	7	D	8
ESS	Echium	Small	Small	OldStigma	8	D	8
ESS	Echium	Small	Small	OldStigma	8	E	4
ESS	Echium	Small	Small	OldStigma	9	E	30
ESS	Echium	Small	Small	OldStigma	9	D	3
ESS	Echium	Small	Small	OldStigma	10	D	9
ESS	Echium	Small	Small	OldStigma	10	E	10
ESL	Echium	Small	Large	OldStigma	1	D	7
ESL	Echium	Small	Large	OldStigma	1	E	NA
ESL	Echium	Small	Large	OldStigma	2	E	14
ESL	Echium	Small	Large	OldStigma	2	D	13
ESL	Echium	Small	Large	OldStigma	3	D	5
ESL	Echium	Small	Large	OldStigma	3	E	7
ESL	Echium	Small	Large	OldStigma	4	E	3
ESL	Echium	Small	Large	OldStigma	4	D	7
ESL	Echium	Small	Large	OldStigma	5	D	8
ESL	Echium	Small	Large	OldStigma	5	E	4
ESL	Echium	Small	Large	OldStigma	6	E	9
ESL	Echium	Small	Large	OldStigma	6	D	26
ESL	Echium	Small	Large	OldStigma	7	D	2
ESL	Echium	Small	Large	OldStigma	7	E	5
ESL	Echium	Small	Large	OldStigma	8	E	24
ESL	Echium	Small	Large	OldStigma	8	D	6
ESL	Echium	Small	Large	OldStigma	9	D	5
ESL	Echium	Small	Large	OldStigma	9	E	25
ESL	Echium	Small	Large	OldStigma	10	E	43
ESL	Echium	Small	Large	OldStigma	10	D	14
BLS	Borago	Large	Small	SVPD	1	D	2
BLS	Borago	Large	Small	SVPD	1	E	0
BLS	Borago	Large	Small	SVPD	2	E	19
BLS	Borago	Large	Small	SVPD	2	D	39
BLS	Borago	Large	Small	SVPD	3	D	NA
BLS	Borago	Large	Small	SVPD	3	E	15
BLS	Borago	Large	Small	SVPD	4	E	115
BLS	Borago	Large	Small	SVPD	4	D	4
BLS	Borago	Large	Small	SVPD	5	D	168
BLS	Borago	Large	Small	SVPD	5	E	53
BLS	Borago	Large	Small	SVPD	6	E	52
BLS	Borago	Large	Small	SVPD	6	D	24
BLS	Borago	Large	Small	SVPD	7	D	11
BLS	Borago	Large	Small	SVPD	7	E	24
BLS	Borago	Large	Small	SVPD	8	E	12
BLS	Borago	Large	Small	SVPD	8	D	58
BLS	Borago	Large	Small	SVPD	9	D	11
BLS	Borago	Large	Small	SVPD	9	E	21
BLS	Borago	Large	Small	Stigma	1	E	119
BLS	Borago	Large	Small	Stigma	1	D	90
BLS	Borago	Large	Small	Stigma	2	D	103
BLS	Borago	Large	Small	Stigma	2	E	NA
BLS	Borago	Large	Small	Stigma	3	E	19
BLS	Borago	Large	Small	Stigma	3	D	4
BLS	Borago	Large	Small	Stigma	4	D	154
BLS	Borago	Large	Small	Stigma	4	E	58
BLS	Borago	Large	Small	Stigma	5	E	19
BLS	Borago	Large	Small	Stigma	5	D	201
BLS	Borago	Large	Small	Stigma	6	D	108
BLS	Borago	Large	Small	Stigma	6	E	57
BLS	Borago	Large	Small	Stigma	7	E	14
BLS	Borago	Large	Small	Stigma	7	D	2
BLS	Borago	Large	Small	Stigma	8	D	119
BLS	Borago	Large	Small	Stigma	8	E	14
BLS	Borago	Large	Small	Stigma	9	E	18
BLS	Borago	Large	Small	Stigma	9	D	24
BLS	Borago	Large	Small	Stigma	10	D	33
BLS	Borago	Large	Small	Stigma	10	E	49
BLL	Borago	Large	Large	SVPD	1	D	67
BLL	Borago	Large	Large	SVPD	1	E	90
BLL	Borago	Large	Large	SVPD	2	E	106
BLL	Borago	Large	Large	SVPD	2	D	132
BLL	Borago	Large	Large	SVPD	3	D	26
BLL	Borago	Large	Large	SVPD	3	E	214
BLL	Borago	Large	Large	SVPD	4	E	184
BLL	Borago	Large	Large	SVPD	4	D	50
BLL	Borago	Large	Large	SVPD	5	D	43
BLL	Borago	Large	Large	SVPD	5	E	10
BLL	Borago	Large	Large	SVPD	6	E	23
BLL	Borago	Large	Large	SVPD	6	D	37
BLL	Borago	Large	Large	SVPD	7	D	25
BLL	Borago	Large	Large	SVPD	7	E	11
BLL	Borago	Large	Large	SVPD	8	E	2
BLL	Borago	Large	Large	SVPD	8	D	117
BLL	Borago	Large	Large	SVPD	9	D	5
BLL	Borago	Large	Large	SVPD	9	E	10
BLL	Borago	Large	Large	SVPD	10	E	26
BLL	Borago	Large	Large	SVPD	10	D	26
BSL	Borago	Small	Large	SVPD	1	D	27
BSL	Borago	Small	Large	SVPD	1	E	8
BSL	Borago	Small	Large	SVPD	2	E	112
BSL	Borago	Small	Large	SVPD	2	D	12
BSL	Borago	Small	Large	SVPD	3	E	18
BSL	Borago	Small	Large	SVPD	3	D	NA
BSL	Borago	Small	Large	SVPD	4	E	1
BSL	Borago	Small	Large	SVPD	4	D	10
BSL	Borago	Small	Large	SVPD	5	E	5
BSL	Borago	Small	Large	SVPD	5	D	5
BSL	Borago	Small	Large	SVPD	6	D	17
BSL	Borago	Small	Large	SVPD	6	E	39
BSL	Borago	Small	Large	SVPD	7	E	13
BSL	Borago	Small	Large	SVPD	7	D	22
BSL	Borago	Small	Large	SVPD	8	D	20
BSL	Borago	Small	Large	SVPD	8	E	21
BSL	Borago	Small	Large	SVPD	9	E	8
BSL	Borago	Small	Large	SVPD	9	D	24
BSL	Borago	Small	Large	SVPD	10	D	19
BSL	Borago	Small	Large	SVPD	10	E	54
BSL	Borago	Small	Large	Stigma	1	D	25
BSL	Borago	Small	Large	Stigma	1	E	50
BSL	Borago	Small	Large	Stigma	2	E	15
BSL	Borago	Small	Large	Stigma	2	D	50
BSL	Borago	Small	Large	Stigma	3	D	36
BSL	Borago	Small	Large	Stigma	3	E	75
BSL	Borago	Small	Large	Stigma	4	D	9
BSL	Borago	Small	Large	Stigma	4	E	30
BSL	Borago	Small	Large	Stigma	5	E	133
BSL	Borago	Small	Large	Stigma	5	D	80
BSL	Borago	Small	Large	Stigma	6	E	85
BSL	Borago	Small	Large	Stigma	6	D	91
BSL	Borago	Small	Large	Stigma	7	D	52
BSL	Borago	Small	Large	Stigma	7	E	76
BSL	Borago	Small	Large	Stigma	8	E	45
BSL	Borago	Small	Large	Stigma	8	D	75
BSL	Borago	Small	Large	Stigma	9	D	47
BSL	Borago	Small	Large	Stigma	9	E	56
BSL	Borago	Small	Large	Stigma	10	E	79
BSL	Borago	Small	Large	Stigma	10	D	7
BSS	Borago	Small	Small	Stigma	1	E	172
BSS	Borago	Small	Small	Stigma	1	D	425
BSS	Borago	Small	Small	Stigma	2	D	216
BSS	Borago	Small	Small	Stigma	2	E	109
BSS	Borago	Small	Small	Stigma	3	E	76
BSS	Borago	Small	Small	Stigma	3	D	38
BSS	Borago	Small	Small	Stigma	4	E	140
BSS	Borago	Small	Small	Stigma	4	D	48
BSS	Borago	Small	Small	Stigma	5	D	27
BSS	Borago	Small	Small	Stigma	5	E	262
BSS	Borago	Small	Small	Stigma	6	E	29
BSS	Borago	Small	Small	Stigma	6	D	223
BSS	Borago	Small	Small	Stigma	7	D	106
BSS	Borago	Small	Small	Stigma	7	E	63
BSS	Borago	Small	Small	Stigma	8	E	42
BSS	Borago	Small	Small	Stigma	8	D	103
BSS	Borago	Small	Small	Stigma	9	D	221
BSS	Borago	Small	Small	Stigma	9	E	50
BSS	Borago	Small	Small	Stigma	10	E	48
BSS	Borago	Small	Small	Stigma	10	D	67
BSS	Borago	Small	Small	SVPD	1	D	41
BSS	Borago	Small	Small	SVPD	1	E	5
BSS	Borago	Small	Small	SVPD	2	E	105
BSS	Borago	Small	Small	SVPD	2	D	50
BSS	Borago	Small	Small	SVPD	3	D	18
BSS	Borago	Small	Small	SVPD	3	E	22
BSS	Borago	Small	Small	SVPD	4	E	17
BSS	Borago	Small	Small	SVPD	4	D	26
BSS	Borago	Small	Small	SVPD	5	D	78
BSS	Borago	Small	Small	SVPD	5	E	10
BSS	Borago	Small	Small	SVPD	6	E	4
BSS	Borago	Small	Small	SVPD	6	D	18
BSS	Borago	Small	Small	SVPD	7	D	NA
BSS	Borago	Small	Small	SVPD	7	E	63
BSS	Borago	Small	Small	SVPD	8	E	12
BSS	Borago	Small	Small	SVPD	8	D	36
BSS	Borago	Small	Small	SVPD	9	D	17
BSS	Borago	Small	Small	SVPD	9	E	17
BSS	Borago	Small	Small	SVPD	10	E	10
BSS	Borago	Small	Small	SVPD	10	D	111
BLL	Borago	Large	Large	Stigma	1	D	58
BLL	Borago	Large	Large	Stigma	1	E	134
BLL	Borago	Large	Large	Stigma	2	E	133
BLL	Borago	Large	Large	Stigma	2	D	92
BLL	Borago	Large	Large	Stigma	3	D	50
BLL	Borago	Large	Large	Stigma	3	E	54
BLL	Borago	Large	Large	Stigma	4	E	85
BLL	Borago	Large	Large	Stigma	4	D	130
BLL	Borago	Large	Large	Stigma	5	D	91
BLL	Borago	Large	Large	Stigma	5	E	117
BLL	Borago	Large	Large	Stigma	6	E	16
BLL	Borago	Large	Large	Stigma	6	D	188
BLL	Borago	Large	Large	Stigma	7	D	90
BLL	Borago	Large	Large	Stigma	7	E	165
BLL	Borago	Large	Large	Stigma	8	E	40
BLL	Borago	Large	Large	Stigma	8	D	136
BLL	Borago	Large	Large	Stigma	9	D	98
BLL	Borago	Large	Large	Stigma	9	E	114
BLL	Borago	Large	Large	Stigma	10	E	84
BLL	Borago	Large	Large	Stigma	10	D	80
