Species	Treatment	Flowers	Bees	Individual	Flower	Fruits	Seeds
Echium	ESS	Small	Small	8	5	1	1
Echium	ESS	Small	Small	9	1	1	2
Echium	ESS	Small	Small	9	2	1	1
Echium	ESS	Small	Small	9	3	1	1
Echium	ESS	Small	Small	9	4	1	1
Echium	ESS	Small	Small	9	5	1	2
Borago	BSS	Small	Small	3	2	1	4
Borago	BSS	Small	Small	5	1	1	2
Borago	BSL	Small	Large	9	1	1	3
Echium	ELS	Large	Small	1	1	1	2
Echium	ELS	Large	Small	2	1	1	4
Echium	ELS	Large	Small	3	1	1	3
Echium	ELS	Large	Small	4	1	1	0
Echium	ELS	Large	Small	5	1	1	3
Echium	ELS	Large	Small	6	1	1	2
Echium	ELS	Large	Small	7	1	1	3
Echium	ELS	Large	Small	8	1	1	2
Echium	ELS	Large	Small	9	1	1	1
Echium	ELS	Large	Small	9	2	1	3
Echium	ELS	Large	Small	9	3	1	1
Echium	ELS	Large	Small	9	4	1	2
Echium	ELS	Large	Small	10	1	1	2
Echium	ELS	Large	Small	10	2	1	1
Echium	ELS	Large	Small	10	3	1	2
Echium	ELS	Large	Small	11	1	1	4
Echium	ELS	Large	Small	11	2	1	4
Echium	ELS	Large	Small	11	3	1	4
Echium	ELS	Large	Small	11	4	1	4
Echium	ELS	Large	Small	12	1	1	1
Echium	ELS	Large	Small	13	1	1	3
Echium	ELS	Large	Small	13	2	1	3
Echium	ELS	Large	Small	14	1	1	1
Echium	ELS	Large	Small	14	2	1	2
Echium	ELS	Large	Small	14	3	1	1
Echium	ELL	Large	Large	1	1	1	2
Echium	ELL	Large	Large	1	2	1	1
Echium	ELL	Large	Large	1	3	1	2
Echium	ELL	Large	Large	1	4	1	1
Echium	ELL	Large	Large	2	1	1	1
Echium	ELL	Large	Large	2	2	1	2
Echium	ELL	Large	Large	3	1	1	1
Echium	ELL	Large	Large	3	2	1	2
Echium	ELL	Large	Large	4	1	1	1
Echium	ELL	Large	Large	4	2	1	2
Echium	ELL	Large	Large	5	1	1	2
Echium	ELL	Large	Large	5	2	1	2
Echium	ELL	Large	Large	5	3	1	2
Echium	ELL	Large	Large	5	4	1	2
Echium	ELL	Large	Large	6	1	1	2
Echium	ELL	Large	Large	6	2	1	2
Echium	ELL	Large	Large	6	3	1	2
Echium	ELL	Large	Large	7	1	1	1
Echium	ELL	Large	Large	7	2	1	3
Echium	ELL	Large	Large	7	4	1	2
Echium	ELL	Large	Large	8	1	1	3
Echium	ELL	Large	Large	9	2	1	3
Echium	ELL	Large	Large	9	3	1	1
Echium	ELL	Large	Large	10	1	1	3
Echium	ELL	Large	Large	11	1	1	1
Echium	ELL	Large	Large	11	2	1	1
Echium	ELL	Large	Large	11	3	1	1
Echium	ELS	Large	Small	2	2	1	4
Echium	ELS	Large	Small	3	2	1	2
Echium	ELS	Large	Small	4	2	1	2
Echium	ELS	Large	Small	5	2	1	2
Echium	ELS	Large	Small	6	2	1	1
Echium	ELS	Large	Small	8	2	1	1
Echium	ELS	Large	Small	8	3	1	2
