Species	Flowers	Individual	Flower	Diameter	Depth	Stamen_length	Nectar_(mm_of_microcapillar)	Surface(mm2)
Echium	Small	1	1	13.20	17.19	20.54	3.61	3.69
Echium	Small	1	2	14.60	15.39	17.12	2.04	3.89
Echium	Small	2	1	10.83	13.48	16.43	0.00	2.43
Echium	Small	2	2	13.17	11.13	14.72	0.00	2.48
Echium	Small	3	1	9.75	16.21	17.92	0.00	3.01
Echium	Small	3	2	12.88	13.34	16.65	0.00	3.14
Echium	Small	4	1	12.81	14.96	15.05	0.00	3.15
Echium	Small	5	1	15.91	10.87	14.08	0.00	3.70
Echium	Small	5	2	12.33	12.69	11.59	0.00	2.95
Echium	Small	6	1	14.63	12.17	14.33	0.00	3.59
Echium	Small	6	2	14.29	11.24	14.67	0.00	3.17
Echium	Small	7	1	18.92	12.14	15.66	1.44	4.03
Echium	Small	7	2	14.78	13.01	18.30	0.00	3.76
Echium	Small	8	1	15.01	12.56	15.02	16.37	3.05
Echium	Small	8	2	13.87	13.39	16.47	11.83	3.74
Echium	Small	9	1	12.01	16.11	19.70	53.95	3.24
Echium	Small	9	2	13.82	15.24	17.43	0.63	3.54
Echium	Small	11	1	16.71	12.00	17.88	6.50	3.15
Echium	Small	11	2	15.47	13.08	17.67	0.00	3.42
Echium	Small	10	1	9.37	13.01	15.34	0.00	2.75
Echium	Small	10	2	15.85	13.76	18.49	4.50	2.20
Echium	Small	13	1	12.34	14.68	18.51	NA	3.22
Echium	Small	13	2	12.23	14.68	17.10	NA	3.07
Echium	Small	12	1	16.10	12.78	17.15	NA	3.60
Echium	Small	12	2	16.06	12.93	16.01	NA	3.16
Echium	Small	14	1	11.50	12.54	15.03	NA	2.71
Echium	Small	14	2	12.23	11.43	13.69	NA	2.91
Echium	Small	15	1	12.37	10.02	15.21	NA	2.65
Echium	Small	15	2	12.48	9.60	13.08	NA	2.38
Echium	Small	16	1	13.42	12.80	15.31	NA	3.29
Echium	Small	16	2	15.71	12.40	15.60	NA	3.61
